,revenue,race,industry
479,1145644,Native Hawaiian and Other Pacific Islander,Total for all sectors
483,146617,Native Hawaiian and Other Pacific Islander,Total for all sectors
484,452767,Native Hawaiian and Other Pacific Islander,Total for all sectors
486,79929,Native Hawaiian and Other Pacific Islander,Total for all sectors
487,298642,Native Hawaiian and Other Pacific Islander,Total for all sectors
495,8699273,Native Hawaiian and Other Pacific Islander,Total for all sectors
496,161581,Native Hawaiian and Other Pacific Islander,Total for all sectors
498,756955,Native Hawaiian and Other Pacific Islander,Total for all sectors
499,904989,Native Hawaiian and Other Pacific Islander,Total for all sectors
506,2386,Native Hawaiian and Other Pacific Islander,Total for all sectors
507,9264,Native Hawaiian and Other Pacific Islander,Total for all sectors
513,29675,Native Hawaiian and Other Pacific Islander,Total for all sectors
514,253095,Native Hawaiian and Other Pacific Islander,Total for all sectors
698,1202089,Black or African American,Total for all sectors
699,11991064,Black or African American,Total for all sectors
701,191307,Black or African American,Total for all sectors
702,13487076,Black or African American,Total for all sectors
703,2909456,American Indian and Alaska Native,Total for all sectors
705,589194,American Indian and Alaska Native,Total for all sectors
706,211837,American Indian and Alaska Native,Total for all sectors
711,184875,American Indian and Alaska Native,Total for all sectors
713,2804668,American Indian and Alaska Native,Total for all sectors
714,78305,American Indian and Alaska Native,Total for all sectors
715,2831150,American Indian and Alaska Native,Total for all sectors
716,9573235,Asian,Total for all sectors
717,217583,Asian,Total for all sectors
718,1297348,Asian,Total for all sectors
719,1066602,Asian,Total for all sectors
720,1244376,Asian,Total for all sectors
721,3031857,Asian,Total for all sectors
723,593259,Asian,Total for all sectors
724,185605,Asian,Total for all sectors
725,503353,Asian,Total for all sectors
726,589502,Asian,Total for all sectors
727,8946186,Asian,Total for all sectors
728,37546,Asian,Total for all sectors
730,9495116,Asian,Total for all sectors
734,38159,Native Hawaiian and Other Pacific Islander,Total for all sectors
738,92449,Native Hawaiian and Other Pacific Islander,Total for all sectors
740,42756,Native Hawaiian and Other Pacific Islander,Total for all sectors
774,923518903,White,Total for all sectors
775,16592061,White,Total for all sectors
776,64605138,White,Total for all sectors
777,54042978,White,Total for all sectors
778,75412089,White,Total for all sectors
779,126420763,White,Total for all sectors
780,123012903,White,Total for all sectors
782,54021779,White,Total for all sectors
783,191997964,White,Total for all sectors
784,10257342,White,Total for all sectors
785,911610033,White,Total for all sectors
786,1651528,White,Total for all sectors
787,24323174,White,Total for all sectors
789,899030143,White,Total for all sectors
790,13678383,Black or African American,Total for all sectors
791,363632,Black or African American,Total for all sectors
792,1982623,Black or African American,Total for all sectors
793,1300399,Black or African American,Total for all sectors
794,1353965,Black or African American,Total for all sectors
795,2266301,Black or African American,Total for all sectors
796,1980967,Black or African American,Total for all sectors
797,1948553,Black or African American,Total for all sectors
799,544468,Black or African American,Total for all sectors
803,241443791,White,Total for all sectors
804,6388248,White,Total for all sectors
805,31100772,White,Total for all sectors
806,27601646,White,Total for all sectors
807,38321451,White,Total for all sectors
808,42042383,White,Total for all sectors
809,27385232,White,Total for all sectors
810,24104110,White,Total for all sectors
811,22878998,White,Total for all sectors
812,21620952,White,Total for all sectors
813,968364,White,Total for all sectors
814,122490267,White,Total for all sectors
815,117985161,White,Total for all sectors
816,3276208,White,Total for all sectors
817,6315655,White,Total for all sectors
818,231851929,White,Total for all sectors
819,1615859,Black or African American,Total for all sectors
820,61184,Black or African American,Total for all sectors
821,265310,Black or African American,Total for all sectors
903,1399670,Asian,Total for all sectors
904,2512566,Asian,Total for all sectors
905,1562,Native Hawaiian and Other Pacific Islander,Total for all sectors
906,2081,Native Hawaiian and Other Pacific Islander,Total for all sectors
968,1576662,Black or African American,Total for all sectors
969,224577,American Indian and Alaska Native,Total for all sectors
970,2879,American Indian and Alaska Native,Total for all sectors
976,130249,American Indian and Alaska Native,Total for all sectors
978,182906,American Indian and Alaska Native,Total for all sectors
979,2512566,Asian,Total for all sectors
981,550802,Asian,Total for all sectors
982,344911,Asian,Total for all sectors
988,11663996011,White,Total for all sectors
989,112718157,Black or African American,Total for all sectors
990,5438005,Black or African American,Total for all sectors
991,19421048,Black or African American,Total for all sectors
992,13598791,Black or African American,Total for all sectors
993,14433534,Black or African American,Total for all sectors
994,17934267,Black or African American,Total for all sectors
995,13985377,Black or African American,Total for all sectors
996,11746482,Black or African American,Total for all sectors
997,4903361,Black or African American,Total for all sectors
998,11257293,Black or African American,Total for all sectors
999,29226662,Black or African American,Total for all sectors
1000,75893179,Black or African American,Total for all sectors
1001,7598316,Black or African American,Total for all sectors
1002,8423331,Black or African American,Total for all sectors
1003,154377,Black or African American,Total for all sectors
1004,104140449,Black or African American,Total for all sectors
1005,30563470,American Indian and Alaska Native,Total for all sectors
1006,971741,American Indian and Alaska Native,Total for all sectors
1007,3783797,American Indian and Alaska Native,Total for all sectors
1008,4158886,American Indian and Alaska Native,Total for all sectors
1009,4319110,American Indian and Alaska Native,Total for all sectors
1010,5621822,American Indian and Alaska Native,Total for all sectors
1011,3448708,American Indian and Alaska Native,Total for all sectors
1012,4355978,American Indian and Alaska Native,Total for all sectors
1013,1632051,American Indian and Alaska Native,Total for all sectors
1014,2271378,American Indian and Alaska Native,Total for all sectors
1074,12138199854,White,Total for all sectors
1075,239915443,White,Total for all sectors
1076,940594632,White,Total for all sectors
1077,808093694,White,Total for all sectors
1078,1073717623,White,Total for all sectors
1079,1850964582,White,Total for all sectors
1080,1567899887,White,Total for all sectors
1081,1929790454,White,Total for all sectors
1082,1142405589,White,Total for all sectors
1083,2584817948,White,Total for all sectors
1084,1564349833,White,Total for all sectors
1085,9496841503,White,Total for all sectors
1086,1077008517,White,Total for all sectors
1087,413708372,White,Total for all sectors
1088,60495470,White,Total for all sectors
1090,7363117,Native Hawaiian and Other Pacific Islander,Total for all sectors
1091,70377,Native Hawaiian and Other Pacific Islander,Total for all sectors
1093,8312085,Native Hawaiian and Other Pacific Islander,Total for all sectors
1154,10072821,American Indian and Alaska Native,Total for all sectors
1155,19449343,American Indian and Alaska Native,Total for all sectors
1156,1041306,American Indian and Alaska Native,Total for all sectors
1157,2478243,American Indian and Alaska Native,Total for all sectors
1159,28081034,American Indian and Alaska Native,Total for all sectors
1160,851238417,Asian,Total for all sectors
1161,31747283,Asian,Total for all sectors
1162,152877632,Asian,Total for all sectors
1163,120114968,Asian,Total for all sectors
1164,116675546,Asian,Total for all sectors
1165,138975205,Asian,Total for all sectors
1166,82597918,Asian,Total for all sectors
1167,90266800,Asian,Total for all sectors
1168,36322036,Asian,Total for all sectors
1169,81661029,Asian,Total for all sectors
1170,170859203,Asian,Total for all sectors
1171,576859194,Asian,Total for all sectors
1172,103520020,Asian,Total for all sectors
1173,6101614,Asian,Total for all sectors
1175,845031418,Asian,Total for all sectors
1176,9719642,Native Hawaiian and Other Pacific Islander,Total for all sectors
1177,225744,Native Hawaiian and Other Pacific Islander,Total for all sectors
1179,1085438,Native Hawaiian and Other Pacific Islander,Total for all sectors
1180,945804,Native Hawaiian and Other Pacific Islander,Total for all sectors
1184,115285,Native Hawaiian and Other Pacific Islander,Total for all sectors
1185,452767,Native Hawaiian and Other Pacific Islander,Total for all sectors
